#  T(t-2),T(t-1),T(t),D(t-2),D(t-1),D(t),P(t+1)
27.40,26.40,26.10,5564.00,5641.70,5600.40,28.08
26.40,26.10,26.10,5641.70,5600.40,5676.30,29.26
26.10,26.10,26.00,5600.40,5676.30,5720.40,32.06
26.10,26.00,25.90,5676.30,5720.40,5687.40,27.42
26.00,25.90,26.20,5720.40,5687.40,5531.10,27.08
25.90,26.20,25.90,5687.40,5531.10,5436.00,26.56
26.20,25.90,25.50,5531.10,5436.00,5399.00,22.56
25.90,25.50,24.90,5436.00,5399.00,5302.60,24.62
25.50,24.90,24.70,5399.00,5302.60,5208.90,23.06
24.90,24.70,24.20,5302.60,5208.90,5182.80,24.96
24.70,24.20,24.10,5208.90,5182.80,5171.40,23.23
24.20,24.10,24.40,5182.80,5171.40,4928.90,21.11
24.10,24.40,23.90,5171.40,4928.90,4663.20,19.54
24.40,23.90,23.40,4928.90,4663.20,4554.60,20.18
23.90,23.40,23.40,4663.20,4554.60,4430.50,17.24
23.40,23.40,23.70,4554.60,4430.50,4303.90,17.23
23.40,23.70,23.10,4430.50,4303.90,4213.00,17.47
23.70,23.10,23.00,4303.90,4213.00,4219.60,17.26
23.10,23.00,22.90,4213.00,4219.60,4191.80,17.17
23.00,22.90,22.80,4219.60,4191.80,4117.20,17.18
22.90,22.80,22.70,4191.80,4117.20,4114.90,17.17
22.80,22.70,23.20,4117.20,4114.90,4109.20,17.19
22.70,23.20,23.90,4114.90,4109.20,4128.80,17.20
23.20,23.90,25.20,4109.20,4128.80,4138.00,16.71
23.90,25.20,26.50,4128.80,4138.00,4245.80,17.76
25.20,26.50,27.30,4138.00,4245.80,4404.80,17.37
26.50,27.30,28.10,4245.80,4404.80,4579.40,18.42
27.30,28.10,28.50,4404.80,4579.40,4763.80,24.42
28.10,28.50,29.00,4579.40,4763.80,4969.30,26.03
28.50,29.00,30.10,4763.80,4969.30,5098.90,26.55
29.00,30.10,29.40,4969.30,5098.90,5188.20,25.81
30.10,29.40,29.90,5098.90,5188.20,5263.40,26.35
29.40,29.90,29.70,5188.20,5263.40,5303.00,29.46
29.90,29.70,29.50,5263.40,5303.00,5318.70,30.85
29.70,29.50,29.90,5303.00,5318.70,5336.00,31.17
29.50,29.90,29.70,5318.70,5336.00,5398.70,32.12
29.90,29.70,30.10,5336.00,5398.70,5369.50,28.99
29.70,30.10,30.60,5398.70,5369.50,5392.30,29.31
30.10,30.60,30.50,5369.50,5392.30,5377.30,32.99
30.60,30.50,30.80,5392.30,5377.30,5385.10,33.43
30.50,30.80,30.10,5377.30,5385.10,5388.60,33.44
30.80,30.10,30.00,5385.10,5388.60,5383.20,33.43
30.10,30.00,29.10,5388.60,5383.20,5391.90,33.54
30.00,29.10,28.80,5383.20,5391.90,5382.20,32.46
29.10,28.80,28.10,5391.90,5382.20,5398.90,33.55
28.80,28.10,27.90,5382.20,5398.90,5398.30,34.48
28.10,27.90,27.70,5398.90,5398.30,5498.80,34.46
27.90,27.70,27.00,5398.30,5498.80,5509.00,32.17
27.70,27.00,27.40,5498.80,5509.00,5564.20,33.15
27.00,27.40,26.80,5509.00,5564.20,5679.10,35.90
27.40,26.80,26.50,5564.20,5679.10,5804.30,36.43
26.80,26.50,26.10,5679.10,5804.30,5858.20,33.59
26.50,26.10,25.60,5804.30,5858.20,5750.00,31.57
26.10,25.60,25.30,5858.20,5750.00,5591.00,30.48
25.60,25.30,25.90,5750.00,5591.00,5534.70,26.48
25.30,25.90,25.70,5591.00,5534.70,5386.60,27.92
25.90,25.70,25.80,5534.70,5386.60,5320.90,25.52
25.70,25.80,25.90,5386.60,5320.90,5244.70,25.64
25.80,25.90,25.90,5320.90,5244.70,5166.60,24.55
25.90,25.90,25.00,5244.70,5166.60,4936.10,21.87
25.90,25.00,24.60,5166.60,4936.10,4697.40,19.95
25.00,24.60,24.10,4936.10,4697.40,4613.50,21.87
24.60,24.10,23.90,4697.40,4613.50,4539.20,18.90
24.10,23.90,24.60,4613.50,4539.20,4423.60,17.78
23.90,24.60,24.60,4539.20,4423.60,4366.50,17.58
24.60,24.60,24.20,4423.60,4366.50,4317.10,17.35
24.60,24.20,23.60,4366.50,4317.10,4301.40,17.30
24.20,23.60,23.50,4317.10,4301.40,4297.50,17.77
23.60,23.50,23.50,4301.40,4297.50,4294.00,18.40
23.50,23.50,24.30,4297.50,4294.00,4401.10,24.10
23.50,24.30,24.50,4294.00,4401.10,4478.20,25.18
24.30,24.50,25.20,4401.10,4478.20,4631.80,22.78
24.50,25.20,25.80,4478.20,4631.80,4882.10,27.46
25.20,25.80,26.70,4631.80,4882.10,5196.50,21.61
25.80,26.70,27.90,4882.10,5196.50,5557.20,26.11
26.70,27.90,28.70,5196.50,5557.20,5868.60,32.66
27.90,28.70,29.60,5557.20,5868.60,6123.40,32.94
28.70,29.60,29.30,5868.60,6123.40,6261.00,33.39
